产品ID,产品大类,产品大类编号,产品细类,产品名称,型号,颜色,产品变量,中文名称,店铺
JC003-0001,饰品类,Jewelry,JC003,袖扣,旧款袖扣,S,银色,,袖扣-银色-S,voro
JC003-0002,饰品类,Jewelry,JC003,袖扣,旧款袖扣,S,金色,,袖扣-金色-S,voro
JC003-0003,饰品类,Jewelry,JC003,袖扣,旧款袖扣,S,玫瑰金,,袖扣-玫瑰金-S,voro
JC003-0004,饰品类,Jewelry,JC003,袖扣,旧款袖扣,S,黑色,,袖扣-黑色-S,voro
JC005-0001,饰品类,Jewelry,JC005,领带夹,鸭嘴领带夹,M,银色,,领带夹-银色-M,voro
JC005-0002,饰品类,Jewelry,JC005,领带夹,鸭嘴领带夹,M,金色,,领带夹-金色-M,voro
JC005-0003,饰品类,Jewelry,JC005,领带夹,鸭嘴领带夹,M,玫瑰金,,领带夹-玫瑰金-M,voro
JC007-0001,饰品类,Jewelry,JC007,狗牌,静音滑入式狗牌,S,金色,,狗牌-金色-S,voro
JC007-0002,饰品类,Jewelry,JC007,狗牌,静音滑入式狗牌,S,银色,,狗牌-银色-S,voro
JC007-0003,饰品类,Jewelry,JC007,狗牌,静音滑入式狗牌,M,金色,,狗牌-金色-M,voro
JC007-0004,饰品类,Jewelry,JC007,狗牌,静音滑入式狗牌,M,银色,,狗牌-银色-M,voro
JC010-0001,饰品类,Jewelry,JC010,心形相盒,花卉心形相盒,-,金色,一月,花卉心形相盒-金色-一月,voro
JC010-0002,饰品类,Jewelry,JC010,心形相盒,花卉心形相盒,-,金色,二月,花卉心形相盒-金色-二月,voro
JC010-0003,饰品类,Jewelry,JC010,心形相盒,花卉心形相盒,-,金色,三月,花卉心形相盒-金色-三月,voro
JC010-0004,饰品类,Jewelry,JC010,心形相盒,花卉心形相盒,-,银色,一月,花卉心形相盒-银色-一月,voro
JC010-0005,饰品类,Jewelry,JC010,心形相盒,花卉心形相盒,-,银色,二月,花卉心形相盒-银色-二月,voro
JC010-0006,饰品类,Jewelry,JC010,心形相盒,花卉心形相盒,-,银色,三月,花卉心形相盒-银色-三月,voro
BOX001,包装类,Packaging,BOX,包装盒,椭圆盒,-,-,椭圆形开窗木盒,包装盒-椭圆形开窗木盒,voro
BOX002,包装类,Packaging,BOX,包装盒,方盒,-,-,方形礼盒,包装盒-方形礼盒,voro
BOX003,包装类,Packaging,BOX,包装盒,长方形礼盒,-,-,长方形礼盒,包装盒-长方形礼盒,voro
